lokasi,name,rating,status,keterangan
https://www.google.com/maps/place/Gunung+Pinang/data=!4m7!3m6!1s0x2e418c67bb0e0e9f:0x790b1cf200e89979!8m2!3d-6.0573455!4d106.1011519!16s%2Fg%2F11c2p_gs59!19sChIJnw4Ou2eMQS4ReZnoAPIcC3k?authuser=0&hl=en&rclk=1,Gunung Pinang,4.1,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Istana+Taman+Cadas/data=!4m7!3m6!1s0x2e418f8ee7438b5f:0xf0d020728f05cb13!8m2!3d-6.0448517!4d106.0203386!16s%2Fg%2F11h24q2qlh!19sChIJX4tD546PQS4RE8sFj3Ig0PA?authuser=0&hl=en&rclk=1,Istana Taman Cadas,4,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Tasikardi+Lake/data=!4m7!3m6!1s0x2e418c8d22ad4d63:0xe5977e414f52b412!8m2!3d-6.0526576!4d106.1421943!16s%2Fg%2F11cjh_w5nq!19sChIJY02tIo2MQS4RErRST0F-l-U?authuser=0&hl=en&rclk=1,Tasikardi Lake,4,Open,⋅ Closes 5.00 am Mon
https://www.google.com/maps/place/Taman+Wisata+MBS/data=!4m7!3m6!1s0x2e4221d88fa4e4ad:0x4c7f4c6119d26087!8m2!3d-6.1927155!4d106.1529054!16s%2Fg%2F11l3s75gwb!19sChIJreSkj9ghQi4Rh2DSGWFMf0w?authuser=0&hl=en&rclk=1,Taman Wisata MBS,4.6,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Wisata+anyer/data=!4m7!3m6!1s0x2e418117115f8e6f:0x8b10973cbb87d736!8m2!3d-6.1626893!4d105.8536737!16s%2Fg%2F11shfcmc2n!19sChIJb45fEReBQS4RNteHuzyXEIs?authuser=0&hl=en&rclk=1,Wisata anyer,4.4,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Cibanten/data=!4m7!3m6!1s0x2e4226c6d28d596b:0x98eaf948aa8785cc!8m2!3d-6.2183915!4d106.0465139!16s%2Fg%2F11cl_58xz5!19sChIJa1mN0sYmQi4RzIWHqkj56pg?authuser=0&hl=en&rclk=1,Cibanten,4.4,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Pulau+Cangkir/data=!4m7!3m6!1s0x2e41fc7f4e6e1c0d:0x7565c334d1bd62a5!8m2!3d-6.0314381!4d106.4410407!16s%2Fg%2F11ggvvsdkv!19sChIJDRxuTn_8QS4RpWK90TTDZXU?authuser=0&hl=en&rclk=1,Pulau Cangkir,4.2,Open 24 hours,
https://www.google.com/maps/place/Istana+Surosowan+-+Banten+Lama/data=!4m7!3m6!1s0x2e418cd48e5b96f1:0x1f95f58a295f6b82!8m2!3d-6.0382005!4d106.1557351!16s%2Fg%2F11b7j4__2c!19sChIJ8ZZbjtSMQS4RgmtfKYr1lR8?authuser=0&hl=en&rclk=1,Istana Surosowan - Banten Lama,4.5,Open 24 hours,
https://www.google.com/maps/place/Taman+Batu+Gede+Sayar/data=!4m7!3m6!1s0x2e418a647b89b7b1:0xe0101172d2968e85!8m2!3d-6.1440021!4d106.1040064!16s%2Fg%2F11g6j6kr87!19sChIJsbeJe2SKQS4RhY6W0nIREOA?authuser=0&hl=en&rclk=1,Taman Batu Gede Sayar,4.4,Open 24 hours,
https://www.google.com/maps/place/Telaga+Biru+Cisoka/data=!4m7!3m6!1s0x2e4205d10e37390f:0xef38639adf05f086!8m2!3d-6.2780008!4d106.4305969!16s%2Fg%2F11c6cb813w!19sChIJDzk3DtEFQi4RhvAF35pjOO8?authuser=0&hl=en&rclk=1,Telaga Biru Cisoka,4,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Wisata+Alam+Cikoromoy/data=!4m7!3m6!1s0x2e424e0ae7ca18bb:0x85798b683d3e2baf!8m2!3d-6.3291505!4d106.0209283!16s%2Fg%2F11c6ccv30l!19sChIJuxjK5wpOQi4Rrys-PWiLeYU?authuser=0&hl=en&rclk=1,Wisata Alam Cikoromoy,4.2,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Pantai+Mambruk/data=!4m7!3m6!1s0x2e41840f5b67ffbd:0x34cb03ae613d17e2!8m2!3d-6.0722778!4d105.8829324!16s%2Fg%2F11c4blrxvt!19sChIJvf9nWw-EQS4R4hc9Ya4DyzQ?authuser=0&hl=en&rclk=1,Pantai Mambruk,4.5,Open 24 hours,
https://www.google.com/maps/place/Wisata+Bumi+Tirtayasa/data=!4m7!3m6!1s0x2e41f1fe2ddc67db:0x34b6f1f061076fe6!8m2!3d-6.0206034!4d106.3214198!16s%2Fg%2F11khrvrkvz!19sChIJ22fcLf7xQS4R5m8HYfDxtjQ?authuser=0&hl=en&rclk=1,Wisata Bumi Tirtayasa,4.5,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Destinasi+Wisata+Bukit+Layung+-+Genteng+Paska/data=!4m7!3m6!1s0x2e428bc565b21bf5:0x2ec6417774d4d5c4!8m2!3d-6.8750675!4d106.184362!16s%2Fg%2F11sf66jn_5!19sChIJ9RuyZcWLQi4RxNXUdHdBxi4?authuser=0&hl=en&rclk=1,Destinasi Wisata Bukit Layung - Genteng Paska,4.2,Open 24 hours,
https://www.google.com/maps/place/Gopek+Karangantu+Beach/data=!4m7!3m6!1s0x2e41f2d1a26b88b5:0xcadf06c747393b!8m2!3d-6.0255765!4d106.1655155!16s%2Fg%2F11ddyk1mv6!19sChIJtYhrotHyQS4ROzlHxwbfygA?authuser=0&hl=en&rclk=1,Gopek Karangantu Beach,4.4,Open now,
https://www.google.com/maps/place/Koja+Cliff+Park/data=!4m7!3m6!1s0x2e420589afa52225:0x88a6de2bbef2bd2b!8m2!3d-6.3145534!4d106.3979829!16s%2Fg%2F11g9m33xkm!19sChIJJSKlr4kFQi4RK73yvivepog?authuser=0&hl=en&rclk=1,Koja Cliff Park,4,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Curug+Betung/data=!4m7!3m6!1s0x2e4229c52ffd7e91:0x81e04036e902b5f9!8m2!3d-6.1768936!4d105.9113976!16s%2Fg%2F11c26rl2g4!19sChIJkX79L8UpQi4R-bUC6TZA4IE?authuser=0&hl=en&rclk=1,Curug Betung,3.7,,
https://www.google.com/maps/place/BUKIT+SINYONYA/data=!4m7!3m6!1s0x2e423d077c6051c7:0x49bce079bd15c6b9!8m2!3d-6.3621946!4d106.0845807!16s%2Fg%2F11v0rflp3n!19sChIJx1FgfAc9Qi4RucYVvXngvEk?authuser=0&hl=en&rclk=1,BUKIT SINYONYA,4.8,Open,⋅ Closes 12.00 am
https://www.google.com/maps/place/Taman+Rekreasi+Wulandira+Serang/data=!4m7!3m6!1s0x2e418c5a8894c17d:0xc1927ece71bffda5!8m2!3d-6.0466338!4d106.1019579!16s%2Fg%2F11btvgc4b0!19sChIJfcGUiFqMQS4Rpf2_cc5-ksE?authuser=0&hl=en&rclk=1,Taman Rekreasi Wulandira Serang,3.9,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Forest+Park+%28Tahura%29/data=!4m7!3m6!1s0x2e422db2512dd547:0xbb7f2991871ca400!8m2!3d-6.2921387!4d105.841278!16s%2Fg%2F11g5_bd91g!19sChIJR9UtUbItQi4RAKQch5Epf7s?authuser=0&hl=en&rclk=1,Forest Park (Tahura),4.3,Open 24 hours,
https://www.google.com/maps/place/Kampung+Korea/data=!4m7!3m6!1s0x2e4223766df49797:0x5cb9d93c13258bd0!8m2!3d-6.265361!4d106.07943!16s%2Fg%2F11llcvz1wm!19sChIJl5f0bXYjQi4R0IslEzzZuVw?authuser=0&hl=en&rclk=1,Kampung Korea,4.2,Open 24 hours,
https://www.google.com/maps/place/Wisata+Bendungan+Cikoncang/data=!4m7!3m6!1s0x2e42516b9c99619f:0xd82ca77687f8c96d!8m2!3d-6.7162894!4d105.8962217!16s%2Fg%2F11c1p5nv4j!19sChIJn2GZnGtRQi4Rbcn4h3anLNg?authuser=0&hl=en&rclk=1,Wisata Bendungan Cikoncang,4.3,Open,⋅ Closes 7.00 pm
https://www.google.com/maps/place/Tourism+Village+Baduy/data=!4m7!3m6!1s0x2e4269170530e947:0xcfa76ee30d189b72!8m2!3d-6.5958483!4d106.2256021!16s%2Fg%2F11c6w13l_9!19sChIJR-kwBRdpQi4RcpsYDeNup88?authuser=0&hl=en&rclk=1,Tourism Village Baduy,4.7,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Wisata+Mangrove+Pancer/data=!4m7!3m6!1s0x2e41f30e1c053533:0x63f73326112174c1!8m2!3d-6.0253925!4d106.164856!16s%2Fg%2F11j7hkxblt!19sChIJMzUFHA7zQS4RwXQhESYz92M?authuser=0&hl=en&rclk=1,Wisata Mangrove Pancer,4.3,Open,⋅ Closes 6.30 pm
https://www.google.com/maps/place/MOUNTAIN+NATURE+CIKUJANG+KENCANA/data=!4m7!3m6!1s0x2e4246e7b2668083:0x56f6e19fa56e8274!8m2!3d-6.5386445!4d106.0377853!16s%2Fg%2F11gcpw1g0_!19sChIJg4BmsudGQi4RdIJupZ_h9lY?authuser=0&hl=en&rclk=1,MOUNTAIN NATURE CIKUJANG KENCANA,4,Open,⋅ Closes 5.30 pm
https://www.google.com/maps/place/Bukit+Curahem+Shorea+Forest/data=!4m7!3m6!1s0x2e4241622a3e5151:0x49a05ba106d9b91e!8m2!3d-6.5484165!4d106.0671065!16s%2Fg%2F11h9535c4q!19sChIJUVE-KmJBQi4RHrnZBqFboEk?authuser=0&hl=en&rclk=1,Bukit Curahem Shorea Forest,4.3,Open 24 hours,
https://www.google.com/maps/place/Pantai+Pasir+Putih+Florida+Indah+Anyer/data=!4m7!3m6!1s0x2e4180d9fb4476b9:0xa3c12cd019ae4ee5!8m2!3d-6.1288411!4d105.8653979!16s%2Fg%2F11b_3g81mh!19sChIJuXZE-9mAQS4R5U6uGdAswaM?authuser=0&hl=en&rclk=1,Pantai Pasir Putih Florida Indah Anyer,4.2,Open 24 hours,
https://www.google.com/maps/place/Wisata+Kampung+Marengo+Baduy+Luar/data=!4m7!3m6!1s0x2e42691f0ca8c471:0xc7dce717ca9ffcd1!8m2!3d-6.6078819!4d106.2224494!16s%2Fg%2F11f0l3sdj3!19sChIJccSoDB9pQi4R0fyfyhfn3Mc?authuser=0&hl=en&rclk=1,Wisata Kampung Marengo Baduy Luar,4.7,Open 24 hours,
https://www.google.com/maps/place/Wisata+Gunung+Karang/data=!4m7!3m6!1s0x2e4223821208298f:0xc79482ec2317283b!8m2!3d-6.2651323!4d106.0777707!16s%2Fg%2F11f76750mp!19sChIJjykIEoIjQi4ROygXI-yClMc?authuser=0&hl=en&rclk=1,Wisata Gunung Karang,4.5,Open,⋅ Closes 5.25 am Mon
https://www.google.com/maps/place/RUMAH+HUTAN+CIDAMPIT/data=!4m7!3m6!1s0x2e4221eb475a877d:0x511ed8d458864838!8m2!3d-6.1649026!4d106.0865714!16s%2Fg%2F11hygy50j9!19sChIJfYdaR-shQi4ROEiGWNTYHlE?authuser=0&hl=en&rclk=1,RUMAH HUTAN CIDAMPIT,4.5,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Pantai+Citarate/data=!4m7!3m6!1s0x2e429adb517baabf:0x6c49f98be938b7a0!8m2!3d-6.9887253!4d106.3820157!16s%2Fg%2F11hbnx_vdl!19sChIJv6p7UduaQi4RoLc46Yv5SWw?authuser=0&hl=en&rclk=1,Pantai Citarate,4.5,Open 24 hours,
https://www.google.com/maps/place/Benteng+Speelwijk+-+Banten+Lama/data=!4m7!3m6!1s0x2e41f2d7aaaaaaab:0x5a81cda382ccf67f!8m2!3d-6.0312364!4d106.1506923!16s%2Fg%2F1pzrfjkph!19sChIJq6qqqtfyQS4Rf_bMgqPNgVo?authuser=0&hl=en&rclk=1,Benteng Speelwijk - Banten Lama,4.6,Open 24 hours,
https://www.google.com/maps/place/Baduy+Outbound/data=!4m7!3m6!1s0x2e42212004d3f897:0x943851ee29991dfc!8m2!3d-6.2263705!4d106.119524!16s%2Fg%2F11b7q772lf!19sChIJl_jTBCAhQi4R_B2ZKe5ROJQ?authuser=0&hl=en&rclk=1,Baduy Outbound,4,Open,⋅ Closes 10.00 pm
https://www.google.com/maps/place/Koja+Cliff+Goa+Gozila+Bukit+Koja/data=!4m7!3m6!1s0x2e420f7e0b64bf4b:0x611d05464e1279b9!8m2!3d-6.3140635!4d106.3993444!16s%2Fg%2F11gf4559v8!19sChIJS79kC34PQi4RuXkSTkYFHWE?authuser=0&hl=en&rclk=1,Koja Cliff Goa Gozila Bukit Koja,4.1,Open,⋅ Closes 6.00 pm
https://www.google.com/maps/place/Bodur+Beach/data=!4m7!3m6!1s0x2e43c9d02895010d:0x221a82f9b6489ab9!8m2!3d-6.4912575!4d105.6507023!16s%2Fg%2F11b7hlgtgc!19sChIJDQGVKNDJQy4RuZpItvmCGiI?authuser=0&hl=en&rclk=1,Bodur Beach,4.2,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Wisata+Lima+Umah/data=!4m7!3m6!1s0x2e421f0d4c384ec9:0x675f8a2b5e920a34!8m2!3d-6.1772696!4d106.1815273!16s%2Fg%2F11t46l4f8y!19sChIJyU44TA0fQi4RNAqSXiuKX2c?authuser=0&hl=en&rclk=1,Wisata Lima Umah,4.7,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Hutan+Kayu+Putih+Keragilan/data=!4m7!3m6!1s0x2e41f64046220265:0xe0bf82ef0ed21350!8m2!3d-6.1305384!4d106.2774964!16s%2Fg%2F11c6rt3fpk!19sChIJZQIiRkD2QS4RUBPSDu-Cv-A?authuser=0&hl=en&rclk=1,Hutan Kayu Putih Keragilan,3.4,,
https://www.google.com/maps/place/Saung+Biru+Pandeglang/data=!4m7!3m6!1s0x2e4223af2c2b939f:0x57f642246142b401!8m2!3d-6.267015!4d106.07448!16s%2Fg%2F11fscnv8v2!19sChIJn5MrLK8jQi4RAbRCYSRC9lc?authuser=0&hl=en&rclk=1,Saung Biru Pandeglang,4.3,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/CAS+Water+Park+Cikole/data=!4m7!3m6!1s0x2e423cc4c2b3fd85:0xa15c4fa57974baae!8m2!3d-6.3360957!4d106.0976987!16s%2Fg%2F1tlv49gz!19sChIJhf2zwsQ8Qi4Rrrp0eaVPXKE?authuser=0&hl=en&rclk=1,CAS Water Park Cikole,4.2,Open,⋅ Closes 5.00 pm
https://www.google.com/maps/place/Negeri+Di+Atas+Awan+Citorek/data=!4m7!3m6!1s0x2e4263a09d711fdf:0xe093ba9fbabb425d!8m2!3d-6.7420294!4d106.3320079!16s%2Fg%2F11hdy42nfb!19sChIJ3x9xnaBjQi4RXUK7up-6k-A?authuser=0&hl=en&rclk=1,Negeri Di Atas Awan Citorek,4.7,Open 24 hours,
